model,test_accuracy,train_time_s,inference_time_s,model_size_kb,efficiency
Baseline,0.35108958837772397,0.0005818999925395474,0.0005435000057332218,0.7412109375,603.3503916119453
Logistic Regression,0.9515738498789347,0.0283320000016829,0.00038050000148359686,2.2412109375,33.586539948553295
MLP,0.9346246973365617,0.13893159999861382,0.0010380000021541491,120.4658203125,6.727229063408806
Random Forest,0.9588377723970944,0.837247399991611,0.11047339999640826,2519.5244140625,1.1452263362140052
Gradient Boosting,0.9661016949152542,7.04812540000421,0.003889200001140125,970.4140625,0.13707214898796738
