,0
horizontal_minor_m,0.10829022618982377
vertical_extent_m,0.10350138397586142
bbox_dz_m,0.0996429920066939
max_axis_verticality,0.06140047369208237
verticality_ratio,0.05110112247022387
pca_L2_m,0.04572612165134688
flatness,0.04310677640726802
equiv_cross_section_area_m2,0.041829139387334575
pca_L3_m,0.03990708566966623
footprint_compactness,0.03818564999741161
equiv_radius_of_gyration_m,0.03797740761050091
horizontal_aspect_ratio,0.03468293213198881
rectangularity,0.032534089056382734
footprint_area_m2,0.029845459808325113
n_faces,0.024896364673374
convexity,0.022508290180013584
mesh_complexity,0.022300087668420426
specific_surface,0.019560189515049158
n_vertices,0.018460287951247663
step_count_proxy,0.017269360510001164
volume_m3,0.01461588827516268
planarity_index,0.012223673159096086
incline_angle_deg,0.011190448980155008
bbox_volume_m3,0.007644867706082103
elongation,0.006848635706284568
hull_volume_m3,0.006728202242772321
sphericity_index,0.0063617082265842685
linearity_index,0.005655421523897173
surface_area_m2,0.004735876642842155
footprint_perimeter_m,0.004474065818860516
thickness_to_span_ratio,0.004400381936534747
hull_area_m2,0.003326393355838547
compactness,0.0031984222048427632
bbox_dx_m,0.002871102081012372
horizontal_major_m,0.0028219461854996166
bbox_dy_m,0.0027684522142065473
slenderness_ratio,0.002588429762832629
pca_L1_m,0.0025714112585991256
cross_section_area_cv,0.0022492321658805115
